Name,Critic_Score,User_Score
.hack//G.U. Last Recode,7.6,7.9
428: Shibuya Scramble,8.5,7.3
7 Days to Die,4.0,5.6
7th Dragon III Code: VFD,7.5,7.9
8-Bit Armies,6.9,7.3
88 Heroes: 98 Heroes Edition,6.5,6.4
A Game of Thrones: Genesis,4.9,4.1
A Hat in Time,7.9,8.5
A Story About My Uncle,7.3,7.2
A Valley Without Wind,5.5,6.8
A Way Out,7.8,7.75
ABZU,8.05,7.25
ARK Park,4.6,4.5
ARK: Survival Evolved,5.966666666666666,4.2
ARMS,7.9,7.1
Accel World vs. Sword Art Online: Millennium Twilight,6.4,6.1
Ace Combat: Assault Horizon Legacy,7.0,7.8
Act of Aggression,7.1,7.1
Adventure Time: Pirates of the Enchiridion,5.6,5.5
Aegis of Earth: Protonovus Assault,5.7,6.4
AereA,4.6,1.8
Afrika,6.0,8.0
Agatha Christie's The ABC Murders,6.65,6.4
Agatha Christie: The ABC Murders,6.6,8.5
Age of Empires II: HD Edition,6.8,7.9
Age of Empires Online,7.0,5.7
Agents of Mayhem,6.75,6.5
Agony,4.366666666666666,4.533333333333334
Akiba's Beat,5.5,6.7
Akiba's Trip: Undead & Undressed,6.050000000000001,7.1
Alan Wake,9.0,8.0
Alan Wake's American Nightmare,7.5,6.6
Alice: Madness Returns,6.7,8.4
Alien: Isolation,7.933333333333334,8.166666666666666
Aliens: Colonial Marines,5.0,3.5
All-Star Fruit Racing,6.0,3.6
Always Sometimes Monsters,7.3,7.2
American Truck Simulator,7.6,6.8
Angry Birds Trilogy,7.0,4.6
Angry Video Game Nerd Adventures,7.7,7.6
Animal Crossing: City Folk,7.1,8.8
Animal Crossing: Happy Home Designer,6.6,6.9
Animal Crossing: New Horizons,9.0,5.4
Animal Crossing: New Leaf,8.6,8.8
Anno 2070,8.7,7.1
Anno 2205,7.2,6.0
Anodyne,7.5,6.6
Anomaly 2,7.7,7.7
Anomaly: Warzone Earth,7.9,7.3
Apex Construct,7.2,7.0
Apollo Justice: Ace Attorney,7.7,7.8
Apotheon,7.8,7.7
Aragami,7.1,7.15
Arc the Lad: Twilight of the Spirits,7.3,8.5
Armello,7.4,7.1
Army of Two,7.4,6.9
Arslan: The Warriors of Legend,6.9,6.5
Art Academy: Home Studio,8.2,7.9
Asphalt 3D,4.0,4.3
Asphalt: Injection,4.9,5.0
Assassin's Creed,8.2,8.25
Assassin's Creed Chronicles: China,6.9,6.0
Assassin's Creed III,8.15,6.75
Assassin's Creed III: Liberation,7.2,7.2
Assassin's Creed IV: Black Flag,8.4,7.85
Assassin's Creed Odyssey,8.933333333333332,5.7
Assassin's Creed Origins,8.333333333333334,7.166666666666667
Assassin's Creed Rogue Remastered,6.55,6.4
Assassin's Creed Syndicate,7.933333333333334,6.433333333333334
Assassin's Creed: Brotherhood,8.7,8.2
Assassin's Creed: Revelations,8.0,7.4
Assault Suit Leynos,6.7,6.7
Assetto Corsa,7.266666666666667,7.033333333333334
Asteroids,7.6,7.8
Astral Chain,8.9,8.7
Asura's Wrath,7.5,8.3
Atelier Ayesha Plus: The Alchemist of Dusk,7.6,8.4
Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,7.5,8.2
Atelier Firis: The Alchemist and the Mysterious Journey,7.4,7.0
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,6.800000000000001,7.0
Atelier Meruru Plus: The Apprentice of Arland,7.4,8.1
Atelier Shallie Plus: Alchemists of the Dusk Sea,7.8,7.7
Atelier Sophie: The Alchemist of the Mysterious Book,7.5,7.6
Atom Zombie Smasher,7.2,7.1
Attack on Titan,7.550000000000001,6.7
Attack on Titan 2,7.266666666666667,7.066666666666666
AudioSurf,8.2,9.0
Avadon: The Black Fortress,7.5,7.7
Aven Colony,7.5,7.050000000000001
Axiom Verge,7.966666666666666,7.966666666666666
Azure Striker Gunvolt,8.0,8.1
Azure Striker Gunvolt: Striker Pack,8.2,7.5
Bad Apple Wars,7.8,7.6
Baja: Edge of Control HD,6.5,5.9
Banished,7.3,8.1
Banjo-Kazooie,9.3,9.4
Bastion,8.5,8.5
Batman: Arkham City,9.0,8.7
Batman: Arkham Knight,7.866666666666667,5.866666666666667
Batman: Arkham Origins,7.8,7.5
Batman: Arkham Origins Blackgate,7.2,6.7
Batman: Arkham VR,7.4,7.2
Batman: Return to Arkham,7.3,8.1
Battle Brothers,8.0,7.7
Battle Chasers: Nightwar,8.075,7.15
Battle Fantasia,7.0,8.0
Battle Worlds: Kronos,7.1,7.1
BattleBlock Theater,8.5,7.9
Battleborn,6.933333333333334,7.033333333333334
Battlefield 1,9.166666666666666,7.533333333333334
Battlefield 3,8.9,7.6
Battlefield 4,8.4,6.55
Battlefield V,7.733333333333333,2.5
Battlefield: Bad Company 2,8.95,9.05
Battlefleet Gothic: Armada,7.7,7.4
Battlezone,6.6,7.1
Bayonetta,8.833333333333334,8.299999999999999
Bayonetta 2,9.4,8.65
Beat Cop,7.1,7.5
Bendy and the Ink Machine,7.05,6.949999999999999
Berserk and the Band of the Hawk,6.6,6.7
BioShock,9.45,9.55
BioShock Infinite,9.5,8.6
BioShock: The Collection,8.4,8.55
Bionic Commando,7.1,8.0
Birthdays the Beginning,6.5,6.5
Black Clover: Quartet Knights,5.3,5.2
Black Mesa,8.6,8.9
Black Mirror,5.550000000000001,4.15
Blackguards,7.8,7.1
Blackguards 2,7.4,7.4
Blade Strangers,8.3,7.5
Bladestorm: Nightmare,5.8,6.2
BlazBlue: Calamity Trigger Portable,7.9,8.4
BlazBlue: Central Fiction,8.4,7.7
BlazBlue: Chrono Phantasma Extend,8.25,7.6
BlazBlue: Continuum Shift II,6.0,6.2
BlazBlue: Cross Tag Battle,7.8,7.15
Blocks That Matter,8.5,7.3
Bloodborne,8.2,8.9
Bomber Crew,7.5,7.3
Boom Blox,8.6,8.9
Borderlands 2,7.2,7.949999999999999
Borderlands 2 VR,7.2,7.6
Borderlands: The Handsome Collection,8.1,7.85
Borderlands: The Pre-Sequel,7.5,6.3
Botanicula,9.0,8.3
Brain Age: Concentration Training,7.5,7.8
Bravely Second: End Layer,7.4,8.3
Bravo Team,4.5,4.4
Brawlout,6.2,5.4
Bridge Constructor Portal,7.8,4.550000000000001
Brink,7.0,6.0
Broforce,8.3,8.0
Broken Age,7.6,6.9
Broken Sword 5: The Serpent's Curse,7.45,7.15
Brothers: A Tale of Two Sons,8.149999999999999,8.2
Bubsy: The Woolies Strike Back,4.5,5.8
Bulletstorm,8.7,7.7
Bulletstorm: Full Clip Edition,7.85,7.1
Bully: Scholarship Edition,8.1,10.0
Burnout Paradise Remastered,8.0,6.6
Bus Simulator 16,4.6,6.0
Bust-A-Move Universe,5.6,4.8
Call of Cthulhu,6.449999999999999,6.550000000000001
Call of Duty 2,8.8,9.1
Call of Duty 3,7.4,7.85
Call of Duty 4: Modern Warfare,9.55,9.3
Call of Duty: Advanced Warfare,8.466666666666667,5.266666666666667
Call of Duty: Black Ops 3,8.1,4.9
Call of Duty: Black Ops II,8.95,5.65
Call of Duty: Black Ops IIII,8.3,4.0
Call of Duty: Ghosts,7.933333333333334,3.4
Call of Duty: Infinite Warfare,7.6000000000000005,3.6333333333333333
Call of Duty: Modern Warfare,8.0,3.3
Call of Duty: Modern Warfare 2,9.5,9.0
Call of Duty: Modern Warfare 3,8.0,2.7
Call of Duty: Modern Warfare Remastered,8.3,6.9
Call of Duty: Modern Warfare: Reflex Edition,7.2,8.9
Call of Duty: WWII,7.766666666666667,3.9
Call of Duty: World at War,8.3,8.35
Call of Juarez: The Cartel,4.5,3.4
Candle: The Power of the Flame,7.2,7.4
Capcom Beat 'Em Up Bundle,7.449999999999999,6.15
Captain America: Super Soldier,5.0,5.0
Captain Toad: Treasure Tracker,8.1,8.066666666666666
Cargo Commander,6.3,6.9
Carmageddon: Max Damage,5.15,6.550000000000001
Cars 3: Driven to Win,6.333333333333333,6.066666666666666
Cartoon Network: Punch Time Explosion,5.6,5.7
Castlevania Judgment,4.6,7.5
Castlevania: Lords of Shadow - Mirror of Fate,7.2,7.2
Castlevania: Lords of Shadow 2,5.8,7.7
Castlevania: Order of Ecclesia,8.2,9.2
Castlevania: Symphony of the Night,9.3,9.0
Cat Quest,7.4,7.5
Cave Story 3D,8.2,8.2
Chaos on Deponia,7.8,8.3
Chaos;Child,7.6,7.8
Chibi-Robo! Zip Lash,5.5,6.8
Child of Light,8.966666666666667,8.0
Chroma Squad,7.5,7.7
Chrono Cross,9.7,9.5
Cities XL 2012,6.0,5.6
Cities XXL,4.7,1.7
Cities in Motion,7.0,7.7
Cities: Skylines,8.5,8.9
Clustertruck,7.6,7.3
Code Name: S.T.E.A.M.,8.0,7.8
Code of Princess,7.2,7.4
Code of Princess EX,7.2,6.8
Collar x Malice,7.4,8.5
Combat of Giants: Dinosaurs 3D,4.3,5.3
Company of Heroes 2,8.4,2.1
Conan Exiles,6.666666666666667,5.866666666666667
Conception II: Children of the Seven Stars,6.2,7.4
Contrast,7.5,7.6
Cooking Mama: Sweet Shop,6.0,5.0
Corpse Party: Blood Drive,6.0,7.4
Cossacks 3,6.3,5.4
Counter-Strike: Global Offensive,8.0,7.5
Crackdown,8.4,7.0
Crash Bandicoot N. Sane Trilogy,7.3,7.900000000000001
Crash of the Titans,6.5,9.2
Crashlands,7.8,7.8
Creed: Rise to Glory,7.5,6.8
Criminal Girls 2: Party Favors,6.7,8.2
Criminal Girls: Invite Only,5.5,6.8
Crimson Gem Saga,7.3,8.0
Crisis Core: Final Fantasy VII,8.1,9.0
Crusader Kings II,8.0,8.8
Crysis,9.2,8.5
Crysis 2,8.7,6.8
