Name,Publisher,Developer,Year,Platform_Count,Games_Sold
Shovel Knight,Yacht Club Games,Yacht Club Games,2015,5,1.58
Wolfenstein II: The New Colossus,Bethesda Softworks,MachineGames,2017,4,2.72
Okami HD,Capcom,Clover Studio,2017,4,0.62
Resident Evil 4,Capcom,Capcom,2016,4,4.45
Mighty No. 9,Deep Silver,Comcept,2016,4,0.32
Battle Chasers: Nightwar,THQ Nordic,Airship Syndicate,2017,4,0.3
Resident Evil: Revelations,Capcom,Capcom,2012,4,1.79
LEGO Worlds,Warner Bros. Interactive Entertainment,Traveller's Tales,2017,4,3.1599999999999997
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,2017,4,2.85
Resident Evil: Revelations 2,Capcom,Capcom,2015,4,1.5
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,2017,4,2.51
FIFA 18,EA Sports,EA Vancouver,2017,4,16.12
The Escapists 2,Sold Out,Team17 Software,2018,4,0.9299999999999999
Rocket League,505 Games,Psyonix Studios,2016,4,3.92
Watch Dogs,Ubisoft,Ubisoft Montreal,2014,4,6.58
Dragon Ball FighterZ,Namco Bandai Games,Arc System Works,2018,4,3.4099999999999997
Mega Man Legacy Collection,Capcom,Digital Eclipse Software,2016,4,1.23
Grand Theft Auto V,Rockstar Games,Rockstar North,2014,4,61.03
Little Nightmares,Namco Bandai Games,Tarsier Studios,2017,3,0.8300000000000001
Pro Evolution Soccer 2016,Konami Digital Entertainment,PES Productions,2015,3,0.99
Dead Cells,Merge Games,Motion Twin,2018,3,0.99
Starlink: Battle for Atlas,Ubisoft,Ubisoft Toronto,2018,3,0.77
Dark Souls III,Namco Bandai Games,From Software,2016,3,6.98
Yoku's Island Express,Villa Gorilla,Villa Gorilla,2018,3,0.04
Project CARS,Bandai Namco Games,Slightly Mad Studios,2015,3,1.82
Bayonetta,Sega,PlatinumGames,2010,3,2.56
Scribblenauts Unmasked: A DC Comics Adventure,Warner Bros. Interactive Entertainment,5TH Cell,2013,3,0.43000000000000005
Metal Gear Solid V: Ground Zeroes,Konami Digital Entertainment,Kojima Productions,2014,3,2.36
The Evil Within 2,Bethesda Softworks,Tango Gameworks,2017,3,1.6700000000000002
Just Dance 2016,Ubisoft,Ubisoft Paris,2015,3,1.37
Vampyr,Focus Home Interactive,DONTNOD Entertainment,2018,3,0.65
Stardew Valley,505 Games,ConcernedApe,2017,3,5.04
Deus Ex: Mankind Divided,Square Enix,Eidos Montreal,2016,3,2.27
Vikings: Wolves of Midgard,Kalypso Media,Games Farm,2017,3,0.08
Destiny 2: Forsaken,Activision,Bungie,2018,3,0.51
For Honor,Ubisoft,Ubisoft Montreal,2017,3,2.66
Thief,Square Enix,Eidos Montreal,2014,3,2.64
Sniper: Ghost Warrior 3,City Interactive,City Interactive,2017,3,0.77
Resident Evil 6,Capcom,Capcom,2013,3,1.56
Fallout 76,Bethesda Softworks,Bethesda Game Studios,2018,3,2.46
Mega Man 11,Capcom,Capcom,2018,3,0.59
Sega Genesis Classics,Sega,Sega,2018,3,0.63
Dragon's Dogma: Dark Arisen,Capcom,Capcom,2017,3,1.22
Captain Toad: Treasure Tracker,Nintendo,Nintendo EAD Tokyo,2014,3,2.73
Titanfall 2,Electronic Arts,Respawn Entertainment,2016,3,3.29
Owlboy,Soedesco,D-Pad Studios,2018,3,0.35
LEGO Jurassic World,Warner Bros. Interactive Entertainment,Traveller's Tales,2015,3,2.3
Trials Fusion,Ubisoft,Unknown,2014,3,0.71
Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,2016,3,4.140000000000001
Battlefield V,Electronic Arts,EA DICE,2018,3,3.87
NBA 2K18,2K Sports,Visual Concepts,2017,3,5.79
The Elder Scrolls Online: Morrowind,Bethesda Softworks,ZeniMax Online Studios,2017,3,0.43
Sword Art Online: Fatal Bullet,Namco Bandai Games,Dimps Corporation,2018,3,0.57
Sniper Elite III,505 Games,Rebellion Developments,2014,3,1.18
Alien: Isolation,Sega,Creative Assembly,2014,3,1.75
Titan Quest,THQ Nordic,Iron Lore Entertainment,2018,3,0.05
Pro Evolution Soccer 2017,Konami Digital Entertainment,PES Productions,2016,3,0.88
